producto,fecha,CostesModelo,CostesEmpresa,Coste_Total_XGB,Coste_Total_STCK2,Coste_Total_XGB2
1,2019-11-15,636.0,1281.0,395.0,567.0,731.0
1,2019-11-16,130.0,6070.0,477.0,58.0,152.0
1,2019-11-18,929.0,1699.0,741.0,876.0,870.0
1,2019-11-19,318.0,3415.0,434.0,251.0,266.0
1,2019-11-20,330.0,10382.0,684.0,587.0,366.0
1,2019-11-21,845.0,8056.0,1042.0,1244.0,841.0
1,2019-11-22,614.0,2341.0,420.0,592.0,770.0
1,2019-11-23,130.0,8386.0,434.0,62.0,152.0
1,2019-11-25,1098.0,1522.0,982.0,1221.0,838.0
1,2019-11-26,511.0,3057.0,388.0,348.0,322.0
1,2019-11-27,259.0,10271.0,475.0,160.0,207.0
1,2019-11-28,816.0,1341.0,1059.0,1157.0,910.0
1,2019-11-29,622.0,1982.0,465.0,619.0,687.0
1,2019-11-30,130.0,7075.0,432.0,62.0,152.0
1,2019-12-02,915.0,1774.0,786.0,1057.0,1094.0
1,2019-12-03,4248.0,7045.0,6284.0,4596.0,6320.0
1,2019-12-04,3046.0,8411.0,4097.0,3542.0,4124.0
1,2019-12-05,2461.0,1741.0,3364.0,3312.0,3935.0
1,2019-12-07,72.0,3412.0,736.0,428.0,271.0
1,2019-12-09,1352.0,5220.0,1195.0,774.0,1368.0
1,2019-12-10,1477.0,1118.0,2710.0,3085.0,2357.0
1,2019-12-11,646.0,4942.0,1613.0,1755.0,1340.0
1,2019-12-12,1172.0,1085.0,744.0,818.0,820.0
1,2019-12-13,356.0,956.0,502.0,399.0,529.0
1,2019-12-14,130.0,2551.0,404.0,88.0,152.0
1,2019-12-16,1098.0,7158.0,740.0,736.0,930.0
1,2019-12-17,387.0,1656.0,1253.0,1228.0,271.0
1,2019-12-18,413.0,7780.0,1036.0,755.0,868.0
1,2019-12-19,1159.0,1592.0,791.0,771.0,759.0
1,2019-12-20,501.0,2160.0,476.0,537.0,563.0
1,2019-12-23,1424.0,9012.0,1180.0,1227.0,1631.0
1,2019-12-24,504.0,755.0,1408.0,1466.0,1157.0
1,2019-12-26,618.0,1122.0,746.0,701.0,659.0
1,2019-12-27,965.0,980.0,744.0,731.0,1079.0
1,2019-12-28,130.0,4723.0,446.0,95.0,152.0
1,2019-12-30,1094.0,7197.0,961.0,1035.0,1139.0
1,2019-12-31,158.0,2731.0,498.0,287.0,233.0
1,2020-01-02,773.0,1859.0,736.0,796.0,779.0
1,2020-01-03,1430.0,1235.0,1168.0,1629.0,1598.0
1,2020-01-04,130.0,5567.0,542.0,130.0,316.0
1,2020-01-07,315.0,1439.0,392.0,410.0,233.0
1,2020-01-08,473.0,4635.0,1408.0,1802.0,1808.0
1,2020-01-09,1301.0,1981.0,1233.0,1188.0,1315.0
1,2020-01-10,438.0,994.0,790.0,1025.0,696.0
1,2020-01-11,388.0,4653.0,406.0,309.0,233.0
1,2020-01-13,1140.0,7020.0,1272.0,1151.0,1260.0
1,2020-01-14,424.0,975.0,359.0,375.0,524.0
1,2020-01-15,620.0,3937.0,462.0,332.0,658.0
1,2020-01-16,1306.0,1174.0,890.0,1106.0,1419.0
1,2020-01-17,399.0,832.0,767.0,626.0,664.0
1,2020-01-18,130.0,5082.0,456.0,108.0,152.0
1,2020-01-20,1081.0,9226.0,906.0,880.0,934.0
1,2020-01-21,250.0,1619.0,436.0,181.0,185.0
1,2020-01-22,228.0,4185.0,506.0,134.0,281.0
1,2020-01-23,1191.0,1016.0,1096.0,1015.0,1046.0
1,2020-01-24,447.0,1516.0,715.0,493.0,475.0
1,2020-01-27,1062.0,3249.0,1096.0,1118.0,1046.0
1,2020-01-28,475.0,1045.0,479.0,251.0,344.0
1,2020-01-29,259.0,4454.0,559.0,293.0,186.0
2,2019-11-15,584.0,3130.0,593.0,562.0,763.0
2,2019-11-16,238.0,3921.0,263.0,204.0,217.0
2,2019-11-18,571.0,2419.0,639.0,645.0,931.0
2,2019-11-19,363.0,4271.0,331.0,346.0,435.0
2,2019-11-20,321.0,4097.0,366.0,309.0,388.0
2,2019-11-21,602.0,3546.0,655.0,668.0,769.0
2,2019-11-22,618.0,4900.0,723.0,700.0,700.0
2,2019-11-23,184.0,5725.0,192.0,208.0,229.0
2,2019-11-25,548.0,2539.0,464.0,464.0,681.0
2,2019-11-26,361.0,3439.0,354.0,333.0,367.0
2,2019-11-27,296.0,4235.0,237.0,238.0,387.0
2,2019-11-28,593.0,3095.0,643.0,643.0,594.0
2,2019-11-29,513.0,4187.0,500.0,483.0,664.0
2,2019-11-30,198.0,4389.0,246.0,149.0,139.0
2,2019-12-02,614.0,2505.0,507.0,504.0,606.0
2,2019-12-03,381.0,3855.0,364.0,338.0,404.0
2,2019-12-04,935.0,4659.0,1079.0,1046.0,1260.0
2,2019-12-05,543.0,3371.0,518.0,572.0,520.0
2,2019-12-07,288.0,2152.0,274.0,241.0,162.0
2,2019-12-09,611.0,1067.0,648.0,641.0,638.0
2,2019-12-10,389.0,978.0,382.0,394.0,628.0
2,2019-12-11,479.0,1894.0,459.0,443.0,729.0
2,2019-12-12,761.0,1120.0,854.0,861.0,805.0
2,2019-12-13,596.0,1758.0,507.0,577.0,653.0
2,2019-12-14,244.0,1598.0,235.0,154.0,210.0
2,2019-12-16,669.0,1501.0,747.0,761.0,682.0
2,2019-12-17,394.0,2745.0,386.0,343.0,340.0
2,2019-12-18,355.0,3386.0,408.0,341.0,412.0
2,2019-12-19,479.0,3754.0,502.0,508.0,890.0
2,2019-12-20,532.0,2783.0,625.0,611.0,630.0
2,2019-12-21,155.0,2741.0,232.0,121.0,437.0
2,2019-12-23,606.0,1569.0,494.0,481.0,716.0
2,2019-12-24,443.0,1616.0,312.0,306.0,461.0
2,2019-12-26,582.0,2366.0,445.0,434.0,520.0
2,2019-12-27,602.0,2229.0,696.0,702.0,588.0
2,2019-12-28,240.0,2481.0,264.0,124.0,121.0
2,2019-12-30,703.0,1533.0,464.0,448.0,681.0
2,2019-12-31,534.0,3574.0,316.0,340.0,289.0
2,2020-01-02,692.0,2957.0,622.0,627.0,557.0
2,2020-01-03,649.0,2196.0,836.0,791.0,1090.0
2,2020-01-04,169.0,2812.0,201.0,197.0,176.0
2,2020-01-07,468.0,1688.0,416.0,419.0,456.0
2,2020-01-08,464.0,2016.0,398.0,336.0,437.0
2,2020-01-09,581.0,1622.0,640.0,618.0,906.0
2,2020-01-10,660.0,1342.0,512.0,583.0,436.0
2,2020-01-11,424.0,2346.0,373.0,401.0,401.0
2,2020-01-13,509.0,1569.0,532.0,525.0,527.0
2,2020-01-14,462.0,1480.0,552.0,541.0,587.0
2,2020-01-15,319.0,1982.0,403.0,359.0,443.0
2,2020-01-16,498.0,1621.0,527.0,502.0,710.0
2,2020-01-17,550.0,1327.0,603.0,550.0,707.0
2,2020-01-18,205.0,2707.0,263.0,191.0,217.0
2,2020-01-20,539.0,2090.0,615.0,628.0,694.0
2,2020-01-21,378.0,2293.0,248.0,262.0,222.0
2,2020-01-22,349.0,2032.0,271.0,273.0,421.0
2,2020-01-23,540.0,3025.0,445.0,435.0,520.0
2,2020-01-24,563.0,2887.0,607.0,587.0,603.0
2,2020-01-25,146.0,2361.0,246.0,152.0,139.0
2,2020-01-27,530.0,564.0,651.0,664.0,677.0
2,2020-01-28,402.0,1670.0,341.0,362.0,437.0
2,2020-01-29,332.0,2050.0,237.0,234.0,387.0
3,2019-11-15,401.0,2047.0,438.0,475.0,486.0
3,2019-11-16,258.0,2864.0,390.0,296.0,197.0
3,2019-11-18,357.0,2746.0,383.0,310.0,308.0
3,2019-11-19,362.0,3447.0,354.0,393.0,365.0
3,2019-11-20,259.0,2958.0,388.0,262.0,318.0
3,2019-11-21,488.0,3464.0,497.0,541.0,731.0
3,2019-11-22,486.0,3448.0,480.0,551.0,765.0
3,2019-11-23,277.0,3671.0,358.0,246.0,225.0
3,2019-11-25,322.0,2867.0,376.0,308.0,507.0
3,2019-11-26,254.0,2669.0,350.0,254.0,264.0
3,2019-11-27,251.0,2988.0,399.0,255.0,346.0
3,2019-11-28,522.0,3296.0,482.0,535.0,655.0
3,2019-11-29,819.0,2735.0,773.0,818.0,964.0
3,2019-11-30,219.0,3077.0,311.0,210.0,304.0
3,2019-12-02,434.0,2686.0,426.0,475.0,518.0
3,2019-12-03,418.0,2899.0,397.0,361.0,488.0
