predictions,producto,predictions_SMAX,predictions_SVR,predictions_XGB,predictions_XG2,predictions_STCK2,predictions_LSTM
0.0,1,2408.0,5476.0,1934.0,1.0,316.0,2784.0
0.0,1,2442.0,5476.0,726.0,1727.0,63.0,2178.0
0.0,1,620.0,5476.0,3724.0,2660.0,4870.0,6066.0
0.0,1,3810.0,5476.0,1673.0,459.0,870.0,2658.0
0.0,1,879.0,5476.0,2337.0,3196.0,2526.0,2617.0
0.0,1,0.0,6093.0,4630.0,3826.0,4619.0,4696.0
0.0,1,2691.0,5476.0,2067.0,2123.0,636.0,2589.0
0.0,1,2245.0,5476.0,696.0,1167.0,1034.0,1288.0
0.0,1,637.0,5476.0,3756.0,4060.0,4182.0,5373.0
0.0,1,3812.0,5476.0,1614.0,3554.0,1432.0,2514.0
0.0,1,880.0,5476.0,1536.0,2955.0,1194.0,1599.0
0.0,1,0.0,6885.0,5572.0,5179.0,4985.0,6731.0
0.0,1,2691.0,5476.0,2449.0,2193.0,988.0,2982.0
0.0,1,2245.0,5476.0,696.0,1167.0,1066.0,1395.0
0.0,1,4009.0,6140.0,4428.0,4899.0,5874.0,6213.0
0.0,1,40212.0,26195.0,29448.0,23352.0,30391.0,30673.0
0.0,1,5729.0,11284.0,14338.0,16190.0,14150.0,17257.0
0.0,1,3855.0,10522.0,9132.0,8049.0,12989.0,9922.0
0.0,1,0.0,5476.0,0.0,32.0,0.0,0.0
0.0,1,2430.0,5476.0,511.0,763.0,393.0,933.0
0.0,1,0.0,5476.0,1854.0,1633.0,2769.0,3042.0
0.0,1,4109.0,7653.0,8482.0,8632.0,4274.0,1492.0
0.0,1,1176.0,5476.0,4931.0,2357.0,1284.0,730.0
0.0,1,0.0,5476.0,3791.0,6299.0,1968.0,5436.0
0.0,1,2987.0,5476.0,2063.0,2100.0,513.0,2625.0
0.0,1,2541.0,5476.0,772.0,1509.0,215.0,778.0
0.0,1,637.0,5476.0,3802.0,5016.0,3670.0,4487.0
0.0,1,3812.0,5741.0,5896.0,6135.0,2382.0,3235.0
0.0,1,880.0,5476.0,4786.0,3779.0,2070.0,3091.0
0.0,1,0.0,5476.0,2900.0,1657.0,3354.0,4366.0
0.0,1,2691.0,5476.0,1851.0,1633.0,1356.0,2648.0
0.0,1,2245.0,5476.0,369.0,1626.0,598.0,933.0
0.0,1,637.0,5476.0,4014.0,6952.0,4049.0,5515.0
0.0,1,3812.0,5720.0,5709.0,5063.0,2692.0,3959.0
0.0,1,0.0,5476.0,1014.0,1540.0,0.0,0.0
0.0,1,0.0,5476.0,1631.0,1462.0,1962.0,3672.0
0.0,1,2691.0,5476.0,1143.0,187.0,589.0,2444.0
0.0,1,2245.0,5476.0,0.0,382.0,101.0,88.0
0.0,1,637.0,5476.0,3011.0,1929.0,2065.0,4355.0
0.0,1,3812.0,5476.0,616.0,848.0,224.0,1772.0
0.0,1,0.0,5476.0,0.0,187.0,0.0,0.0
0.0,1,0.0,5476.0,2543.0,1991.0,2570.0,4104.0
0.0,1,2439.0,5476.0,1974.0,521.0,476.0,3035.0
0.0,1,1994.0,5476.0,0.0,1.0,508.0,231.0
0.0,1,0.0,5476.0,1499.0,3025.0,2539.0,2603.0
0.0,1,3997.0,5476.0,840.0,770.0,690.0,2383.0
0.0,1,4252.0,5476.0,920.0,1042.0,2117.0,2410.0
0.0,1,3855.0,10027.0,3952.0,1058.0,7290.0,7903.0
0.0,1,2875.0,5476.0,2083.0,700.0,2510.0,3770.0
