predictions,producto,predictions_XGB,predictions_XG2,predictions_STCK2,predictions_LSTM
0.0,1,2129.0,724.0,1410.0,1122.0
0.0,1,1771.0,646.0,320.0,0.0
0.0,1,3925.0,3383.0,3361.0,4794.0
0.0,1,1989.0,1050.0,1355.0,1585.0
0.0,1,2974.0,1875.0,2640.0,1320.0
0.0,1,5310.0,4612.0,6008.0,4029.0
0.0,1,2304.0,561.0,1308.0,1215.0
0.0,1,1623.0,646.0,335.0,0.0
0.0,1,3994.0,4596.0,2998.0,3510.0
0.0,1,1950.0,1354.0,1248.0,566.0
0.0,1,1886.0,957.0,412.0,0.0
0.0,1,5369.0,3756.0,5706.0,4524.0
0.0,1,2582.0,1447.0,1734.0,1720.0
0.0,1,1616.0,646.0,282.0,0.0
0.0,1,4421.0,2987.0,5362.0,4867.0
0.0,1,17118.0,36019.0,25277.0,27711.0
0.0,1,14196.0,14067.0,16879.0,19280.0
0.0,1,13970.0,16260.0,13763.0,10350.0
0.0,1,2670.0,1058.0,1603.0,241.0
0.0,1,5840.0,6439.0,4380.0,6383.0
0.0,1,9994.0,8772.0,11295.0,5722.0
0.0,1,6193.0,5249.0,6686.0,0.0
0.0,1,3909.0,3593.0,3601.0,2124.0
0.0,1,2344.0,491.0,1989.0,1211.0
0.0,1,1518.0,646.0,176.0,0.0
0.0,1,4142.0,4799.0,3943.0,2431.0
0.0,1,4825.0,1027.0,4738.0,1825.0
0.0,1,4317.0,3733.0,3341.0,1513.0
0.0,1,3713.0,3850.0,3799.0,2177.0
0.0,1,2377.0,887.0,2586.0,1148.0
0.0,1,4247.0,2364.0,4050.0,3229.0
0.0,1,5000.0,4130.0,5200.0,1867.0
0.0,1,3677.0,3375.0,3520.0,2277.0
0.0,1,2828.0,1431.0,2883.0,1906.0
0.0,1,1666.0,646.0,144.0,0.0
0.0,1,4624.0,3880.0,4315.0,4067.0
0.0,1,1968.0,1050.0,1235.0,787.0
0.0,1,3885.0,2683.0,4092.0,4013.0
0.0,1,3760.0,1960.0,1831.0,2664.0
0.0,1,1998.0,1214.0,0.0,0.0
0.0,1,1719.0,646.0,1782.0,306.0
0.0,1,5242.0,6626.0,6606.0,2001.0
0.0,1,7978.0,7139.0,7751.0,7205.0
0.0,1,3585.0,3259.0,4401.0,1950.0
0.0,1,1770.0,646.0,1432.0,0.0
0.0,1,4944.0,4993.0,5450.0,5496.0
0.0,1,1971.0,1050.0,1674.0,1468.0
0.0,1,2328.0,491.0,1854.0,651.0
0.0,1,5026.0,6859.0,5773.0,3180.0
0.0,1,3504.0,3150.0,3018.0,2114.0
0.0,1,1700.0,646.0,494.0,0.0
0.0,1,5081.0,4736.0,4960.0,4121.0
0.0,1,1873.0,1004.0,989.0,577.0
0.0,1,1994.0,1214.0,522.0,128.0
0.0,1,5140.0,5809.0,5477.0,4740.0
0.0,1,3448.0,2333.0,2677.0,2453.0
0.0,1,5140.0,5809.0,5048.0,5280.0
0.0,1,2144.0,724.0,1112.0,177.0
0.0,1,2178.0,887.0,1256.0,0.0
0.0,2,2361.0,1750.0,2691.0,2755.0
0.0,2,986.0,848.0,811.0,913.0
0.0,2,2195.0,1144.0,2176.0,2442.0
0.0,2,1506.0,1131.0,1454.0,1691.0
0.0,2,1597.0,1664.0,1429.0,1465.0
0.0,2,2137.0,1727.0,2093.0,2330.0
0.0,2,2344.0,2426.0,2425.0,2721.0
0.0,2,876.0,526.0,601.0,689.0
0.0,2,2195.0,1144.0,2194.0,2445.0
0.0,2,1664.0,1703.0,1498.0,1684.0
0.0,2,1112.0,1560.0,1115.0,1287.0
0.0,2,2181.0,2787.0,2181.0,2362.0
0.0,2,2248.0,2893.0,2309.0,2442.0
0.0,2,937.0,400.0,645.0,792.0
0.0,2,2223.0,1864.0,2235.0,2745.0
0.0,2,1693.0,1812.0,1615.0,1744.0
0.0,2,1959.0,1307.0,2078.0,2480.0
0.0,2,2356.0,1727.0,2518.0,2432.0
0.0,2,918.0,583.0,820.0,961.0
0.0,2,2163.0,2198.0,2188.0,2836.0
0.0,2,1774.0,2584.0,1730.0,1868.0
0.0,2,1774.0,2584.0,1728.0,1836.0
0.0,2,2319.0,2497.0,2295.0,2654.0
0.0,2,2324.0,1245.0,2534.0,2591.0
0.0,2,904.0,827.0,661.0,930.0
0.0,2,2256.0,2490.0,2207.0,2537.0
0.0,2,1759.0,1473.0,1632.0,1782.0
0.0,2,1725.0,1735.0,1523.0,1566.0
0.0,2,2242.0,3569.0,2218.0,2323.0
0.0,2,2248.0,2893.0,2297.0,2581.0
0.0,2,794.0,1406.0,462.0,563.0
0.0,2,2386.0,1468.0,2347.0,2722.0
0.0,2,1234.0,1680.0,1217.0,1626.0
0.0,2,2137.0,1727.0,2104.0,2548.0
0.0,2,2439.0,2870.0,2420.0,2912.0
0.0,2,889.0,462.0,470.0,818.0
0.0,2,2195.0,1144.0,2146.0,2910.0
0.0,2,1146.0,1066.0,1216.0,1797.0
0.0,2,2256.0,2490.0,2239.0,3080.0
0.0,2,2386.0,1468.0,2547.0,3151.0
0.0,2,904.0,827.0,642.0,742.0
0.0,2,1202.0,1968.0,1190.0,2003.0
0.0,2,1693.0,1812.0,1510.0,1890.0
0.0,2,2192.0,1235.0,2270.0,2406.0
0.0,2,2340.0,2030.0,2550.0,2780.0
0.0,2,905.0,804.0,805.0,723.0
0.0,2,2131.0,2484.0,2157.0,2431.0
0.0,2,1161.0,1035.0,1198.0,1483.0
0.0,2,1246.0,1104.0,1407.0,1551.0
0.0,2,2151.0,3033.0,2241.0,2256.0
0.0,2,2325.0,1952.0,2655.0,2655.0
0.0,2,986.0,848.0,773.0,814.0
0.0,2,2281.0,1997.0,2236.0,2555.0
0.0,2,1146.0,1066.0,1185.0,1533.0
0.0,2,1112.0,1560.0,1117.0,1346.0
0.0,2,2137.0,1727.0,2107.0,2421.0
0.0,2,2311.0,2813.0,2382.0,2692.0
0.0,2,937.0,400.0,654.0,638.0
0.0,2,2151.0,3033.0,2107.0,2594.0
0.0,2,1471.0,1126.0,1396.0,1808.0
0.0,2,1112.0,1560.0,1104.0,1397.0
0.0,3,2757.0,2955.0,2908.0,2342.0
0.0,3,1713.0,926.0,1328.0,1174.0
0.0,3,2293.0,1983.0,1992.0,2185.0
0.0,3,2294.0,1983.0,1842.0,1995.0
0.0,3,2191.0,1136.0,1677.0,1664.0
0.0,3,2410.0,1260.0,2195.0,2455.0
0.0,3,2494.0,1089.0,2144.0,2465.0
0.0,3,1702.0,1159.0,1245.0,1372.0
0.0,3,2140.0,2675.0,1863.0,1921.0
0.0,3,2034.0,1401.0,1448.0,1448.0
0.0,3,2112.0,1898.0,1526.0,1508.0
0.0,3,2486.0,1634.0,2225.0,2288.0
0.0,3,2671.0,1727.0,2450.0,2443.0
0.0,3,1392.0,1361.0,977.0,1014.0
0.0,3,2223.0,1766.0,1978.0,2180.0
0.0,3,2468.0,1377.0,2322.0,2556.0
0.0,3,2011.0,1960.0,1913.0,2305.0
0.0,3,3036.0,2940.0,3185.0,3490.0
0.0,3,2531.0,1835.0,1851.0,2108.0
0.0,3,1475.0,724.0,992.0,1401.0
0.0,3,2362.0,1960.0,1821.0,2184.0
0.0,3,2374.0,1121.0,2105.0,2222.0
0.0,3,1975.0,1914.0,1672.0,1941.0
0.0,3,2906.0,2217.0,3060.0,3396.0
0.0,3,2645.0,2458.0,2724.0,3352.0
0.0,3,1438.0,1097.0,726.0,617.0
0.0,3,2412.0,1633.0,2150.0,2623.0
0.0,3,2166.0,1501.0,1691.0,1775.0
0.0,3,1569.0,817.0,1250.0,1512.0
0.0,3,3130.0,2310.0,3219.0,3687.0
0.0,3,2488.0,2154.0,2169.0,2249.0
0.0,3,1348.0,615.0,641.0,756.0
0.0,3,2510.0,1773.0,2273.0,2619.0
0.0,3,1902.0,1377.0,1460.0,1728.0
0.0,3,2875.0,934.0,2900.0,3777.0
0.0,3,2401.0,1447.0,2065.0,2251.0
0.0,3,1415.0,957.0,684.0,914.0
0.0,3,2405.0,1470.0,2147.0,3229.0
0.0,3,1812.0,701.0,1416.0,1725.0
0.0,3,2669.0,2185.0,2783.0,2848.0
0.0,3,2898.0,2310.0,2884.0,2973.0
0.0,3,1443.0,965.0,1028.0,587.0
0.0,3,1504.0,840.0,1496.0,1841.0
0.0,3,1573.0,631.0,1655.0,1636.0
0.0,3,2527.0,1851.0,2557.0,2419.0
0.0,3,2661.0,2613.0,2682.0,2874.0
0.0,3,1413.0,1167.0,1050.0,1173.0
0.0,3,2147.0,2706.0,2009.0,2138.0
0.0,3,1936.0,1432.0,1872.0,2075.0
0.0,3,1681.0,1222.0,1520.0,1484.0
0.0,3,2821.0,3336.0,2883.0,2984.0
0.0,3,2929.0,2566.0,3099.0,2622.0
0.0,3,1434.0,631.0,825.0,863.0
0.0,3,2050.0,1937.0,1683.0,2027.0
0.0,3,2054.0,2077.0,1619.0,1610.0
0.0,3,1673.0,1703.0,1307.0,1390.0
0.0,3,2477.0,2170.0,2296.0,2221.0
0.0,3,2746.0,2357.0,2514.0,2464.0
0.0,3,1338.0,615.0,785.0,784.0
0.0,3,2006.0,2940.0,1750.0,2047.0
0.0,3,2108.0,1773.0,1580.0,1661.0
0.0,3,1993.0,2893.0,1601.0,2017.0
0.0,4,4007.0,3873.0,4445.0,4239.0
0.0,4,2852.0,2487.0,2538.0,1902.0
0.0,4,4480.0,2036.0,3785.0,3224.0
0.0,4,3427.0,2749.0,4848.0,4110.0
0.0,4,3449.0,3752.0,2855.0,2858.0
0.0,4,5474.0,20244.0,4490.0,3473.0
0.0,4,3942.0,2716.0,3630.0,3762.0
0.0,4,2618.0,2757.0,2406.0,2668.0
0.0,4,3346.0,2868.0,3292.0,2938.0
0.0,4,3100.0,3270.0,4257.0,3970.0
0.0,4,3326.0,3568.0,3099.0,2798.0
0.0,4,4842.0,1744.0,4523.0,4346.0
0.0,4,4380.0,5702.0,4045.0,4617.0
